,Airline,Year,Passengers
189,Ural Airlines,2008,1.50
190,Ural Airlines,2007,1.20
191,Ural Airlines,2006,1.00
192,Aegean Airlines,2021,7.19
193,Aegean Airlines,2020,5.17
194,Aegean Airlines,2019,14.99
195,Aegean Airlines,2018,13.97
196,Aegean Airlines,2017,13.22
197,Aegean Airlines,2016,12.46
198,Aegean Airlines,2015,11.60
199,Aegean Airlines,2014,10.20
200,Aegean Airlines,2013,8.80
201,Aegean Airlines,2012,8.90
202,Aegean Airlines,2011,9.90
203,Aegean Airlines,2010,10.10
204,Aegean Airlines,2009,10.20
205,Aegean Airlines,2008,11.30
206,Aegean Airlines,2007,11.10
207,Aegean Airlines,2006,10.10
208,UTair Aviation,2021,7.12
209,UTair Aviation,2020,4.90
210,UTair Aviation,2019,8.09
211,UTair Aviation,2018,7.65
212,UTair Aviation,2017,7.30
213,UTair Aviation,2016,6.65
214,UTair Aviation,2015,8.80
215,UTair Aviation,2014,11.20
216,UTair Aviation,2013,10.40
217,UTair Aviation,2012,7.80
218,UTair Aviation,2011,5.80
219,UTair Aviation,2010,5.20
220,UTair Aviation,2009,3.90
221,UTair Aviation,2008,3.20
222,UTair Aviation,2007,2.90
223,UTair Aviation,2006,2.40
224,Norwegian Air Shuttle ASA,2021,6.19
225,Norwegian Air Shuttle ASA,2020,6.87
226,Norwegian Air Shuttle ASA,2019,36.20
227,Norwegian Air Shuttle ASA,2018,37.34
228,Norwegian Air Shuttle ASA,2017,33.15
229,Norwegian Air Shuttle ASA,2016,29.30
230,Norwegian Air Shuttle ASA,2015,25.80
231,Norwegian Air Shuttle ASA,2014,24.00
232,Norwegian Air Shuttle ASA,2013,20.70
233,Norwegian Air Shuttle ASA,2012,17.70
234,Norwegian Air Shuttle ASA,2011,15.70
235,Norwegian Air Shuttle ASA,2010,13.00
236,Norwegian Air Shuttle ASA,2009,10.80
237,Norwegian Air Shuttle ASA,2008,9.10
238,Norwegian Air Shuttle ASA,2007,6.90
239,Norwegian Air Shuttle ASA,2006,5.10
240,TAP Air Portugal,2021,5.83
241,TAP Air Portugal,2020,4.66
242,TAP Air Portugal,2019,17.05
243,TAP Air Portugal,2018,15.89
244,TAP Air Portugal,2017,14.27
245,TAP Air Portugal,2016,11.72
246,TAP Air Portugal,2015,11.30
247,TAP Air Portugal,2014,11.40
248,TAP Air Portugal,2013,10.70
249,TAP Air Portugal,2012,10.20
250,TAP Air Portugal,2011,9.80
251,TAP Air Portugal,2010,9.10
252,TAP Air Portugal,2009,8.40
253,TAP Air Portugal,2008,8.70
254,TAP Air Portugal,2007,7.90
255,TAP Air Portugal,2006,6.90
256,Volotea,2020,3.80
257,Volotea,2019,7.60
258,Volotea,2018,6.57
259,Volotea,2017,4.82
260,Volotea,2016,4.30
261,Volotea,2013,1.80
262,Volotea,2012,1.40
263,Volotea,2011,0.00
264,Volotea,2010,0.00
265,Volotea,2009,0.00
266,Volotea,2008,0.00
267,Volotea,2007,0.00
268,Volotea,2006,0.00
269,LOT Polish Airlines,2021,4.20
270,LOT Polish Airlines,2020,3.59
271,LOT Polish Airlines,2019,11.79
272,LOT Polish Airlines,2018,10.61
273,LOT Polish Airlines,2017,6.89
274,LOT Polish Airlines,2016,5.58
275,LOT Polish Airlines,2015,6.10
276,LOT Polish Airlines,2014,5.90
277,LOT Polish Airlines,2013,6.30
278,LOT Polish Airlines,2012,5.80
279,LOT Polish Airlines,2011,5.50
280,LOT Polish Airlines,2010,5.00
281,LOT Polish Airlines,2009,4.00
282,LOT Polish Airlines,2008,4.30
283,LOT Polish Airlines,2007,3.70
284,LOT Polish Airlines,2006,0.00
285,Air Europa,2020,3.13
286,Air Europa,2019,11.84
287,Air Europa,2018,10.60
288,Air Europa,2017,10.60
289,Air Europa,2016,10.20
290,Air Europa,2015,8.10
291,Air Europa,2014,9.00
292,Air Europa,2013,8.10
293,Air Europa,2012,8.70
294,Air Europa,2011,8.90
295,Air Europa,2010,9.00
296,Air Europa,2009,9.70
297,Air Europa,2008,9.90
298,Air Europa,2007,8.10
299,Air Europa,2006,59.00
300,Nordwind Airlines,2021,5.93
301,Nordwind Airlines,2020,2.94
302,Nordwind Airlines,2019,5.54
303,Nordwind Airlines,2018,4.92
304,Nordwind Airlines,2017,3.55
305,Nordwind Airlines,2016,1.79
306,Nordwind Airlines,2015,2.67
307,Nordwind Airlines,2014,4.47
308,Nordwind Airlines,2013,3.66
309,Nordwind Airlines,2012,2.17
310,Nordwind Airlines,2011,1.72
311,Nordwind Airlines,2010,1.19
312,Nordwind Airlines,2009,0
313,Nordwind Airlines,2008,0
314,Nordwind Airlines,2007,0
315,Nordwind Airlines,2006,0
