Datetime,CHFUSD=X,JPYUSD=X,GBPUSD=X,EUR=X
2024-02-05 00:00:00+00:00,1.1530168056488037,0.006736184470355511,1.2618932723999023,0.9275000095367432
2024-02-05 00:05:00+00:00,1.153522253036499,0.0067372736521065235,1.2625625133514404,0.9272000193595886
2024-02-05 00:10:00+00:00,1.1531498432159424,0.006733009126037359,1.2620525360107422,0.9275000095367432
2024-02-05 00:15:00+00:00,1.152538537979126,0.00672712130472064,1.2613521814346313,0.9279000163078308
2024-02-05 00:20:00+00:00,1.1524322032928467,0.006725899409502745,1.261304497718811,0.9276999831199646
2024-02-05 00:25:00+00:00,1.1522064208984375,0.006725175306200981,1.2612090110778809,0.9279999732971191
2024-02-05 00:30:00+00:00,1.1516624689102173,0.006722960155457258,1.2606525421142578,0.9282000064849854
2024-02-05 00:35:00+00:00,1.1518614292144775,0.006722372490912676,1.2604777812957764,0.9283000230789185
2024-02-05 00:40:00+00:00,1.1520471572875977,0.006723321974277496,1.260541319847107,0.9280999898910522
2024-02-05 00:45:00+00:00,1.152578353881836,0.006725401617586613,1.260541319847107,0.9282000064849854
2024-02-05 00:50:00+00:00,1.1526713371276855,0.006724225822836161,1.2607001066207886,0.9279999732971191
2024-02-05 00:55:00+00:00,1.152299404144287,0.006725447252392769,1.2610021829605103,0.9279999732971191
2024-02-05 01:00:00+00:00,1.1523525714874268,0.006729248911142349,1.2606525421142578,0.9277999997138977
2024-02-05 01:05:00+00:00,1.1528840065002441,0.006730788853019476,1.2605888843536377,0.9277999997138977
2024-02-05 01:10:00+00:00,1.152339220046997,0.006727437488734722,1.2602553367614746,0.9279999732971191
2024-02-05 01:15:00+00:00,1.1521003246307373,0.006729339249432087,1.2600648403167725,0.9280999898910522
2024-02-05 01:20:00+00:00,1.1520869731903076,0.0067301541566848755,1.2603188753128052,0.9280999898910522
2024-02-05 01:25:00+00:00,1.1519675254821777,0.00673092482611537,1.2600488662719727,0.9282000064849854
2024-02-05 01:30:00+00:00,1.152365803718567,0.006734369322657585,1.2603507041931152,0.9279999732971191
2024-02-05 01:35:00+00:00,1.1524587869644165,0.006734686903655529,1.2605888843536377,0.9277999997138977
2024-02-05 01:40:00+00:00,1.152618169784546,0.006734369322657585,1.2610658407211304,0.9276999831199646
2024-02-05 01:45:00+00:00,1.152286171913147,0.006733281072229147,1.2606843709945679,0.9279000163078308
2024-02-05 01:50:00+00:00,1.1525650024414062,0.006737228017300367,1.2610498666763306,0.9276999831199646
2024-02-05 01:55:00+00:00,1.1528573036193848,0.006739907432347536,1.2612725496292114,0.9275000095367432
2024-02-05 02:00:00+00:00,1.1526713371276855,0.006737818010151386,1.2611613273620605,0.9275000095367432
2024-02-05 02:05:00+00:00,1.152751088142395,0.006736864801496267,1.2611613273620605,0.9273999929428101
2024-02-05 02:10:00+00:00,1.1527377367019653,0.006737499963492155,1.2610816955566406,0.9273999929428101
2024-02-05 02:15:00+00:00,1.152578353881836,0.006736365612596273,1.2608909606933594,0.9276000261306763
2024-02-05 02:20:00+00:00,1.1526579856872559,0.006735004484653473,1.2608591318130493,0.9273999929428101
2024-02-05 02:25:00+00:00,1.1525119543075562,0.006735049653798342,1.260986328125,0.927299976348877
2024-02-05 02:30:00+00:00,1.1526447534561157,0.006737000774592161,1.260986328125,0.927299976348877
2024-02-05 02:35:00+00:00,1.152325987815857,0.0067365472204983234,1.260779619216919,0.9275000095367432
2024-02-05 02:40:00+00:00,1.1523126363754272,0.006736864801496267,1.2602711915969849,0.9276000261306763
2024-02-05 02:45:00+00:00,1.1521931886672974,0.006733916234225035,1.260366439819336,0.9276000261306763
2024-02-05 02:50:00+00:00,1.1520737409591675,0.006732465233653784,1.260159969329834,0.9276999831199646
2024-02-05 02:55:00+00:00,1.152578353881836,0.006733099929988384,1.2602870464324951,0.9275000095367432
2024-02-05 03:00:00+00:00,1.1528440713882446,0.006736229173839092,1.2601441144943237,0.9275000095367432
2024-02-05 03:05:00+00:00,1.1527643203735352,0.00673659285530448,1.2605730295181274,0.9273999929428101
2024-02-05 03:10:00+00:00,1.1524189710617065,0.006735367234796286,1.2605253458023071,0.9276999831199646
2024-02-05 03:15:00+00:00,1.1523525714874268,0.006736501585692167,1.260668396949768,0.9276000261306763
2024-02-05 03:20:00+00:00,1.1521799564361572,0.006735594477504492,1.2605253458023071,0.9276999831199646
2024-02-05 03:25:00+00:00,1.152325987815857,0.006737999618053436,1.260493516921997,0.9276000261306763
2024-02-05 03:30:00+00:00,1.1523923873901367,0.006738090422004461,1.260779619216919,0.9276000261306763
2024-02-05 03:35:00+00:00,1.1524189710617065,0.006738454103469849,1.2607955932617188,0.9276000261306763
2024-02-05 03:40:00+00:00,1.1524720191955566,0.006738816853612661,1.2609704732894897,0.9275000095367432
2024-02-05 03:45:00+00:00,1.1524852514266968,0.0067384084686636925,1.2610658407211304,0.9275000095367432
2024-02-05 03:50:00+00:00,1.1528042554855347,0.006739907432347536,1.2613998651504517,0.927299976348877
2024-02-05 03:55:00+00:00,1.1526713371276855,0.006738454103469849,1.2612090110778809,0.9275000095367432
2024-02-05 04:00:00+00:00,1.152538537979126,0.00673740915954113,1.2610021829605103,0.9276000261306763
2024-02-05 04:05:00+00:00,1.152751088142395,0.006740543060004711,1.2612248659133911,0.9273999929428101
2024-02-05 04:10:00+00:00,1.152618169784546,0.006738907657563686,1.2610021829605103,0.9276000261306763
2024-02-05 04:15:00+00:00,1.1527643203735352,0.006739588920027018,1.2611453533172607,0.9275000095367432
